seq;cycle_wb;slot;pc;op;F_fetch;L_latency;W_wait;T_time
1;3;0;0;LOAD ;0;4;0;4
2;3;1;1;NOP  ;0;4;0;4
3;3;2;2;NOP  ;0;4;0;4
4;4;0;3;NOP  ;1;4;0;4
5;4;1;4;NOP  ;1;4;0;4
6;4;2;5;NOP  ;1;4;0;4
7;5;0;6;LOAD ;2;4;0;4
8;5;1;7;LOAD ;2;4;0;4
9;5;2;8;ADD  ;2;4;0;4
10;6;0;9;ADD  ;3;4;0;4
11;6;1;10;NOP  ;3;4;0;4
12;6;2;11;NOP  ;3;4;0;4
13;7;0;12;NOP  ;4;4;0;4
14;7;1;13;NOP  ;4;4;0;4
15;7;2;14;NOP  ;4;4;0;4
16;8;0;15;NOP  ;5;4;0;4
17;8;1;16;NOP  ;5;4;0;4
18;8;2;17;NOP  ;5;4;0;4
19;9;0;18;ADD  ;6;4;0;4
20;9;1;19;ADD  ;6;4;0;4
21;9;2;20;JL   ;6;4;0;4
22;10;0;21;ADD  ;7;4;0;4
23;10;1;22;ADD  ;7;4;0;4
24;10;2;23;JL   ;7;4;0;4
25;11;0;24;ADD  ;8;4;0;4
26;11;1;25;ADD  ;8;4;0;4
27;11;2;26;JL   ;8;4;0;4
28;12;0;27;ADD  ;9;4;0;4
29;12;1;28;ADD  ;9;4;0;4
30;12;2;29;JL   ;9;4;0;4
31;13;0;30;ADD  ;10;4;0;4
32;13;1;31;ADD  ;10;4;0;4
33;13;2;32;JL   ;10;4;0;4
34;14;0;33;ADD  ;11;4;0;4
35;14;1;34;ADD  ;11;4;0;4
36;14;2;35;JL   ;11;4;0;4
37;15;0;36;ADD  ;12;4;0;4
38;15;1;37;ADD  ;12;4;0;4
39;15;2;38;JL   ;12;4;0;4
40;16;0;39;ADD  ;13;4;0;4
41;16;1;40;ADD  ;13;4;0;4
42;16;2;41;JL   ;13;4;0;4
43;17;0;42;ADD  ;14;4;0;4
44;17;1;43;ADD  ;14;4;0;4
45;17;2;44;JL   ;14;4;0;4
46;18;0;45;ADD  ;15;4;0;4
47;18;1;46;ADD  ;15;4;0;4
48;18;2;47;JL   ;15;4;0;4
49;19;0;48;ADD  ;16;4;0;4
50;19;1;49;ADD  ;16;4;0;4
51;19;2;50;JL   ;16;4;0;4
52;20;0;51;ADD  ;17;4;0;4
53;20;1;52;ADD  ;17;4;0;4
54;20;2;53;JL   ;17;4;0;4
55;21;0;54;ADD  ;18;4;0;4
56;21;1;55;ADD  ;18;4;0;4
57;21;2;56;JL   ;18;4;0;4
58;22;0;57;ADD  ;19;4;0;4
59;22;1;58;ADD  ;19;4;0;4
60;22;2;59;JL   ;19;4;0;4
61;23;0;60;ADD  ;20;4;0;4
62;23;1;61;ADD  ;20;4;0;4
63;23;2;62;JL   ;20;4;0;4
64;24;0;63;ADD  ;21;4;0;4
65;24;1;64;ADD  ;21;4;0;4
66;24;2;65;JL   ;21;4;0;4
67;25;0;66;ADD  ;22;4;0;4
68;25;1;67;ADD  ;22;4;0;4
69;25;2;68;JL   ;22;4;0;4
70;26;0;69;ADD  ;23;4;0;4
71;26;1;70;ADD  ;23;4;0;4
72;26;2;71;JL   ;23;4;0;4
73;27;0;72;ADD  ;24;4;0;4
74;27;1;73;ADD  ;24;4;0;4
75;27;2;74;JL   ;24;4;0;4
76;28;0;75;ADD  ;25;4;0;4
77;28;1;76;ADD  ;25;4;0;4
78;28;2;77;JL   ;25;4;0;4
79;29;0;78;ADD  ;26;4;0;4
80;29;1;79;ADD  ;26;4;0;4
81;29;2;80;JL   ;26;4;0;4
82;30;0;81;ADD  ;27;4;0;4
83;30;1;82;ADD  ;27;4;0;4
84;30;2;83;JL   ;27;4;0;4
85;31;0;84;ADD  ;28;4;0;4
86;31;1;85;ADD  ;28;4;0;4
87;31;2;86;JL   ;28;4;0;4
88;32;0;87;ADD  ;29;4;0;4
89;32;1;88;ADD  ;29;4;0;4
90;32;2;89;JL   ;29;4;0;4
91;33;0;90;HALT ;30;4;0;4
