seq;cycle_wb;slot;pc;op;F_fetch;L_latency;W_wait;T_time
1;3;0;0;LOAD ;0;4;0;4
2;3;1;1;NOP  ;0;4;0;4
3;3;2;2;NOP  ;0;4;0;4
4;4;0;3;NOP  ;1;4;0;4
5;4;1;4;NOP  ;1;4;0;4
6;4;2;5;NOP  ;1;4;0;4
7;5;0;6;LOAD ;2;4;0;4
8;5;1;7;LOAD ;2;4;0;4
9;5;2;8;ADD  ;2;4;0;4
10;6;0;9;ADD  ;3;4;0;4
11;6;1;10;NOP  ;3;4;0;4
12;6;2;11;NOP  ;3;4;0;4
13;7;0;12;NOP  ;4;4;0;4
14;7;1;13;NOP  ;4;4;0;4
15;7;2;14;NOP  ;4;4;0;4
16;8;0;15;NOP  ;5;4;0;4
17;8;1;16;NOP  ;5;4;0;4
18;8;2;17;NOP  ;5;4;0;4
19;9;0;18;ADD  ;6;4;0;4
20;9;1;19;ADD  ;6;4;0;4
21;9;2;20;ADD  ;6;4;0;4
22;10;0;21;ADD  ;7;4;0;4
23;10;1;22;ADD  ;7;4;0;4
24;10;2;23;ADD  ;7;4;0;4
25;11;0;24;ADD  ;8;4;0;4
26;11;1;25;ADD  ;8;4;0;4
27;11;2;26;ADD  ;8;4;0;4
28;12;0;27;ADD  ;9;4;0;4
29;12;1;28;ADD  ;9;4;0;4
30;12;2;29;JL   ;9;4;0;4
31;15;0;30;ADD  ;12;4;2;6
32;15;1;31;ADD  ;12;4;0;4
33;15;2;32;ADD  ;12;4;0;4
34;16;0;33;ADD  ;13;4;0;4
35;16;1;34;ADD  ;13;4;0;4
36;16;2;35;ADD  ;13;4;0;4
37;17;0;36;ADD  ;14;4;0;4
38;17;1;37;ADD  ;14;4;0;4
39;17;2;38;ADD  ;14;4;0;4
40;18;0;39;ADD  ;15;4;0;4
41;18;1;40;ADD  ;15;4;0;4
42;18;2;41;JL   ;15;4;0;4
43;19;0;42;ADD  ;16;4;0;4
44;19;1;43;ADD  ;16;4;0;4
45;19;2;44;ADD  ;16;4;0;4
46;20;0;45;ADD  ;17;4;0;4
47;20;1;46;ADD  ;17;4;0;4
48;20;2;47;ADD  ;17;4;0;4
49;21;0;48;ADD  ;18;4;0;4
50;21;1;49;ADD  ;18;4;0;4
51;21;2;50;ADD  ;18;4;0;4
52;22;0;51;ADD  ;19;4;0;4
53;22;1;52;ADD  ;19;4;0;4
54;22;2;53;JL   ;19;4;0;4
55;25;0;54;ADD  ;22;4;2;6
56;25;1;55;ADD  ;22;4;0;4
57;25;2;56;ADD  ;22;4;0;4
58;26;0;57;ADD  ;23;4;0;4
59;26;1;58;ADD  ;23;4;0;4
60;26;2;59;ADD  ;23;4;0;4
61;27;0;60;ADD  ;24;4;0;4
62;27;1;61;ADD  ;24;4;0;4
63;27;2;62;ADD  ;24;4;0;4
64;28;0;63;ADD  ;25;4;0;4
65;28;1;64;ADD  ;25;4;0;4
66;28;2;65;JL   ;25;4;0;4
67;29;0;66;ADD  ;26;4;0;4
68;29;1;67;ADD  ;26;4;0;4
69;29;2;68;ADD  ;26;4;0;4
70;30;0;69;ADD  ;27;4;0;4
71;30;1;70;ADD  ;27;4;0;4
72;30;2;71;ADD  ;27;4;0;4
73;31;0;72;ADD  ;28;4;0;4
74;31;1;73;ADD  ;28;4;0;4
75;31;2;74;ADD  ;28;4;0;4
76;32;0;75;ADD  ;29;4;0;4
77;32;1;76;ADD  ;29;4;0;4
78;32;2;77;JL   ;29;4;0;4
79;35;0;78;ADD  ;32;4;2;6
80;35;1;79;ADD  ;32;4;0;4
81;35;2;80;ADD  ;32;4;0;4
82;36;0;81;ADD  ;33;4;0;4
83;36;1;82;ADD  ;33;4;0;4
84;36;2;83;ADD  ;33;4;0;4
85;37;0;84;ADD  ;34;4;0;4
86;37;1;85;ADD  ;34;4;0;4
87;37;2;86;ADD  ;34;4;0;4
88;38;0;87;ADD  ;35;4;0;4
89;38;1;88;ADD  ;35;4;0;4
90;38;2;89;JL   ;35;4;0;4
91;39;0;90;HALT ;36;4;0;4
