seq;cycle_wb;slot;pc;op;F_fetch;L_latency;W_wait;T_time
1;3;0;0;LOAD ;0;4;0;4
2;3;1;1;NOP  ;0;4;0;4
3;3;2;2;NOP  ;0;4;0;4
4;4;0;3;NOP  ;1;4;0;4
5;4;1;4;NOP  ;1;4;0;4
6;4;2;5;NOP  ;1;4;0;4
7;5;0;6;LOAD ;2;4;0;4
8;5;1;7;LOAD ;2;4;0;4
9;5;2;8;ADD  ;2;4;0;4
10;6;0;9;ADD  ;3;4;0;4
11;6;1;10;NOP  ;3;4;0;4
12;6;2;11;NOP  ;3;4;0;4
13;7;0;12;NOP  ;4;4;0;4
14;7;1;13;NOP  ;4;4;0;4
15;7;2;14;NOP  ;4;4;0;4
16;8;0;15;NOP  ;5;4;0;4
17;8;1;16;NOP  ;5;4;0;4
18;8;2;17;NOP  ;5;4;0;4
19;9;0;18;ADD  ;6;4;0;4
20;9;1;19;ADD  ;6;4;0;4
21;9;2;20;ADD  ;6;4;0;4
22;10;0;21;ADD  ;7;4;0;4
23;10;1;22;ADD  ;7;4;0;4
24;10;2;23;JL   ;7;4;0;4
25;13;0;24;ADD  ;10;4;2;6
26;13;1;25;ADD  ;10;4;0;4
27;13;2;26;ADD  ;10;4;0;4
28;14;0;27;ADD  ;11;4;0;4
29;14;1;28;ADD  ;11;4;0;4
30;14;2;29;JL   ;11;4;0;4
31;15;0;30;ADD  ;12;4;0;4
32;15;1;31;ADD  ;12;4;0;4
33;15;2;32;ADD  ;12;4;0;4
34;16;0;33;ADD  ;13;4;0;4
35;16;1;34;ADD  ;13;4;0;4
36;16;2;35;JL   ;13;4;0;4
37;19;0;36;ADD  ;16;4;2;6
38;19;1;37;ADD  ;16;4;0;4
39;19;2;38;ADD  ;16;4;0;4
40;20;0;39;ADD  ;17;4;0;4
41;20;1;40;ADD  ;17;4;0;4
42;20;2;41;JL   ;17;4;0;4
43;21;0;42;ADD  ;18;4;0;4
44;21;1;43;ADD  ;18;4;0;4
45;21;2;44;ADD  ;18;4;0;4
46;22;0;45;ADD  ;19;4;0;4
47;22;1;46;ADD  ;19;4;0;4
48;22;2;47;JL   ;19;4;0;4
49;25;0;48;ADD  ;22;4;2;6
50;25;1;49;ADD  ;22;4;0;4
51;25;2;50;ADD  ;22;4;0;4
52;26;0;51;ADD  ;23;4;0;4
53;26;1;52;ADD  ;23;4;0;4
54;26;2;53;JL   ;23;4;0;4
55;27;0;54;ADD  ;24;4;0;4
56;27;1;55;ADD  ;24;4;0;4
57;27;2;56;ADD  ;24;4;0;4
58;28;0;57;ADD  ;25;4;0;4
59;28;1;58;ADD  ;25;4;0;4
60;28;2;59;JL   ;25;4;0;4
61;31;0;60;ADD  ;28;4;2;6
62;31;1;61;ADD  ;28;4;0;4
63;31;2;62;ADD  ;28;4;0;4
64;32;0;63;ADD  ;29;4;0;4
65;32;1;64;ADD  ;29;4;0;4
66;32;2;65;JL   ;29;4;0;4
67;33;0;66;ADD  ;30;4;0;4
68;33;1;67;ADD  ;30;4;0;4
69;33;2;68;ADD  ;30;4;0;4
70;34;0;69;ADD  ;31;4;0;4
71;34;1;70;ADD  ;31;4;0;4
72;34;2;71;JL   ;31;4;0;4
73;37;0;72;ADD  ;34;4;2;6
74;37;1;73;ADD  ;34;4;0;4
75;37;2;74;ADD  ;34;4;0;4
76;38;0;75;ADD  ;35;4;0;4
77;38;1;76;ADD  ;35;4;0;4
78;38;2;77;JL   ;35;4;0;4
79;39;0;78;ADD  ;36;4;0;4
80;39;1;79;ADD  ;36;4;0;4
81;39;2;80;ADD  ;36;4;0;4
82;40;0;81;ADD  ;37;4;0;4
83;40;1;82;ADD  ;37;4;0;4
84;40;2;83;JL   ;37;4;0;4
85;43;0;84;ADD  ;40;4;2;6
86;43;1;85;ADD  ;40;4;0;4
87;43;2;86;ADD  ;40;4;0;4
88;44;0;87;ADD  ;41;4;0;4
89;44;1;88;ADD  ;41;4;0;4
90;44;2;89;JL   ;41;4;0;4
91;45;0;90;HALT ;42;4;0;4
