seq;cycle_wb;slot;pc;op;F_fetch;L_latency;W_wait;T_time
1;3;0;0;LOAD ;0;4;0;4
2;3;1;1;NOP  ;0;4;0;4
3;3;2;2;NOP  ;0;4;0;4
4;4;0;3;NOP  ;1;4;0;4
5;4;1;4;NOP  ;1;4;0;4
6;4;2;5;NOP  ;1;4;0;4
7;5;0;6;LOAD ;2;4;0;4
8;5;1;7;LOAD ;2;4;0;4
9;5;2;8;ADD  ;2;4;0;4
10;6;0;9;ADD  ;3;4;0;4
11;6;1;10;NOP  ;3;4;0;4
12;6;2;11;NOP  ;3;4;0;4
13;7;0;12;NOP  ;4;4;0;4
14;7;1;13;NOP  ;4;4;0;4
15;7;2;14;NOP  ;4;4;0;4
16;8;0;15;NOP  ;5;4;0;4
17;8;1;16;NOP  ;5;4;0;4
18;8;2;17;NOP  ;5;4;0;4
19;9;0;18;ADD  ;6;4;0;4
20;9;1;19;ADD  ;6;4;0;4
21;9;2;20;ADD  ;6;4;0;4
22;10;0;21;ADD  ;7;4;0;4
23;10;1;22;ADD  ;7;4;0;4
24;10;2;23;JL   ;7;4;0;4
25;13;0;24;ADD  ;10;4;2;6
26;13;1;25;ADD  ;10;4;0;4
27;13;2;26;ADD  ;10;4;0;4
28;14;0;27;ADD  ;11;4;0;4
29;14;1;28;ADD  ;11;4;0;4
30;14;2;29;JL   ;11;4;0;4
31;17;0;30;ADD  ;14;4;2;6
32;17;1;31;ADD  ;14;4;0;4
33;17;2;32;ADD  ;14;4;0;4
34;18;0;33;ADD  ;15;4;0;4
35;18;1;34;ADD  ;15;4;0;4
36;18;2;35;JL   ;15;4;0;4
37;21;0;36;ADD  ;18;4;2;6
38;21;1;37;ADD  ;18;4;0;4
39;21;2;38;ADD  ;18;4;0;4
40;22;0;39;ADD  ;19;4;0;4
41;22;1;40;ADD  ;19;4;0;4
42;22;2;41;JL   ;19;4;0;4
43;25;0;42;ADD  ;22;4;2;6
44;25;1;43;ADD  ;22;4;0;4
45;25;2;44;ADD  ;22;4;0;4
46;26;0;45;ADD  ;23;4;0;4
47;26;1;46;ADD  ;23;4;0;4
48;26;2;47;JL   ;23;4;0;4
49;29;0;48;ADD  ;26;4;2;6
50;29;1;49;ADD  ;26;4;0;4
51;29;2;50;ADD  ;26;4;0;4
52;30;0;51;ADD  ;27;4;0;4
53;30;1;52;ADD  ;27;4;0;4
54;30;2;53;JL   ;27;4;0;4
55;33;0;54;ADD  ;30;4;2;6
56;33;1;55;ADD  ;30;4;0;4
57;33;2;56;ADD  ;30;4;0;4
58;34;0;57;ADD  ;31;4;0;4
59;34;1;58;ADD  ;31;4;0;4
60;34;2;59;JL   ;31;4;0;4
61;37;0;60;ADD  ;34;4;2;6
62;37;1;61;ADD  ;34;4;0;4
63;37;2;62;ADD  ;34;4;0;4
64;38;0;63;ADD  ;35;4;0;4
65;38;1;64;ADD  ;35;4;0;4
66;38;2;65;JL   ;35;4;0;4
67;41;0;66;ADD  ;38;4;2;6
68;41;1;67;ADD  ;38;4;0;4
69;41;2;68;ADD  ;38;4;0;4
70;42;0;69;ADD  ;39;4;0;4
71;42;1;70;ADD  ;39;4;0;4
72;42;2;71;JL   ;39;4;0;4
73;45;0;72;ADD  ;42;4;2;6
74;45;1;73;ADD  ;42;4;0;4
75;45;2;74;ADD  ;42;4;0;4
76;46;0;75;ADD  ;43;4;0;4
77;46;1;76;ADD  ;43;4;0;4
78;46;2;77;JL   ;43;4;0;4
79;49;0;78;ADD  ;46;4;2;6
80;49;1;79;ADD  ;46;4;0;4
81;49;2;80;ADD  ;46;4;0;4
82;50;0;81;ADD  ;47;4;0;4
83;50;1;82;ADD  ;47;4;0;4
84;50;2;83;JL   ;47;4;0;4
85;53;0;84;ADD  ;50;4;2;6
86;53;1;85;ADD  ;50;4;0;4
87;53;2;86;ADD  ;50;4;0;4
88;54;0;87;ADD  ;51;4;0;4
89;54;1;88;ADD  ;51;4;0;4
90;54;2;89;JL   ;51;4;0;4
91;57;0;90;HALT ;54;4;2;6
