seq;cycle_wb;slot;pc;op;F_fetch;L_latency;W_wait;T_time
1;3;0;0;LOAD ;0;4;0;4
2;3;1;1;NOP  ;0;4;0;4
3;3;2;2;NOP  ;0;4;0;4
4;4;0;3;NOP  ;1;4;0;4
5;4;1;4;NOP  ;1;4;0;4
6;4;2;5;NOP  ;1;4;0;4
7;5;0;6;LOAD ;2;4;0;4
8;5;1;7;LOAD ;2;4;0;4
9;5;2;8;ADD  ;2;4;0;4
10;6;0;9;ADD  ;3;4;0;4
11;6;1;10;NOP  ;3;4;0;4
12;6;2;11;NOP  ;3;4;0;4
13;7;0;12;NOP  ;4;4;0;4
14;7;1;13;NOP  ;4;4;0;4
15;7;2;14;NOP  ;4;4;0;4
16;8;0;15;NOP  ;5;4;0;4
17;8;1;16;NOP  ;5;4;0;4
18;8;2;17;NOP  ;5;4;0;4
19;9;0;18;ADD  ;6;4;0;4
20;9;1;19;ADD  ;6;4;0;4
21;9;2;20;ADD  ;6;4;0;4
22;10;0;21;ADD  ;7;4;0;4
23;10;1;22;ADD  ;7;4;0;4
24;10;2;23;ADD  ;7;4;0;4
25;11;0;24;ADD  ;8;4;0;4
26;11;1;25;ADD  ;8;4;0;4
27;11;2;26;ADD  ;8;4;0;4
28;12;0;27;ADD  ;9;4;0;4
29;12;1;28;ADD  ;9;4;0;4
30;12;2;29;JL   ;9;4;0;4
31;15;0;30;ADD  ;12;4;2;6
32;15;1;31;ADD  ;12;4;0;4
33;15;2;32;ADD  ;12;4;0;4
34;16;0;33;ADD  ;13;4;0;4
35;16;1;34;ADD  ;13;4;0;4
36;16;2;35;ADD  ;13;4;0;4
37;17;0;36;ADD  ;14;4;0;4
38;17;1;37;ADD  ;14;4;0;4
39;17;2;38;ADD  ;14;4;0;4
40;18;0;39;ADD  ;15;4;0;4
41;18;1;40;ADD  ;15;4;0;4
42;18;2;41;JL   ;15;4;0;4
43;21;0;42;ADD  ;18;4;2;6
44;21;1;43;ADD  ;18;4;0;4
45;21;2;44;ADD  ;18;4;0;4
46;22;0;45;ADD  ;19;4;0;4
47;22;1;46;ADD  ;19;4;0;4
48;22;2;47;ADD  ;19;4;0;4
49;23;0;48;ADD  ;20;4;0;4
50;23;1;49;ADD  ;20;4;0;4
51;23;2;50;ADD  ;20;4;0;4
52;24;0;51;ADD  ;21;4;0;4
53;24;1;52;ADD  ;21;4;0;4
54;24;2;53;JL   ;21;4;0;4
55;27;0;54;ADD  ;24;4;2;6
56;27;1;55;ADD  ;24;4;0;4
57;27;2;56;ADD  ;24;4;0;4
58;28;0;57;ADD  ;25;4;0;4
59;28;1;58;ADD  ;25;4;0;4
60;28;2;59;ADD  ;25;4;0;4
61;29;0;60;ADD  ;26;4;0;4
62;29;1;61;ADD  ;26;4;0;4
63;29;2;62;ADD  ;26;4;0;4
64;30;0;63;ADD  ;27;4;0;4
65;30;1;64;ADD  ;27;4;0;4
66;30;2;65;JL   ;27;4;0;4
67;33;0;66;ADD  ;30;4;2;6
68;33;1;67;ADD  ;30;4;0;4
69;33;2;68;ADD  ;30;4;0;4
70;34;0;69;ADD  ;31;4;0;4
71;34;1;70;ADD  ;31;4;0;4
72;34;2;71;ADD  ;31;4;0;4
73;35;0;72;ADD  ;32;4;0;4
74;35;1;73;ADD  ;32;4;0;4
75;35;2;74;ADD  ;32;4;0;4
76;36;0;75;ADD  ;33;4;0;4
77;36;1;76;ADD  ;33;4;0;4
78;36;2;77;JL   ;33;4;0;4
79;39;0;78;ADD  ;36;4;2;6
80;39;1;79;ADD  ;36;4;0;4
81;39;2;80;ADD  ;36;4;0;4
82;40;0;81;ADD  ;37;4;0;4
83;40;1;82;ADD  ;37;4;0;4
84;40;2;83;ADD  ;37;4;0;4
85;41;0;84;ADD  ;38;4;0;4
86;41;1;85;ADD  ;38;4;0;4
87;41;2;86;ADD  ;38;4;0;4
88;42;0;87;ADD  ;39;4;0;4
89;42;1;88;ADD  ;39;4;0;4
90;42;2;89;JL   ;39;4;0;4
91;45;0;90;HALT ;42;4;2;6
